,age,fnlwgt,education-num,marital-status,relationship,race,sex,capital-gain,capital-loss,hours-per-week,country,salary,employment_type
0,39,77516,13,1,3,0,1,1,0,40,1,1,0
1,50,83311,13,0,2,0,1,0,0,13,1,1,2
2,38,215646,9,1,3,0,1,0,0,40,1,1,1
3,53,234721,7,0,2,3,1,0,0,40,1,1,1
4,28,338409,13,0,1,3,0,0,0,40,0,1,1
5,37,284582,14,0,1,0,0,0,0,40,1,1,1
6,49,160187,5,1,3,3,0,0,0,16,0,1,1
7,52,209642,9,0,2,0,1,0,0,45,1,0,2
8,31,45781,14,1,3,0,0,1,0,50,1,0,1
9,42,159449,13,0,2,0,1,1,0,40,1,0,1
10,37,280464,10,0,2,3,1,0,0,80,1,0,1
11,30,141297,13,0,2,2,1,0,0,40,0,0,0
12,23,122272,13,1,4,0,0,0,0,30,1,1,1
13,32,205019,12,1,3,3,1,0,0,50,1,1,1
15,34,245487,4,0,2,1,1,0,0,45,0,1,1
16,25,176756,9,1,4,0,1,0,0,35,1,1,2
17,32,186824,9,1,0,0,1,0,0,40,1,1,1
18,38,28887,7,0,2,0,1,0,0,50,1,1,1
19,43,292175,14,1,0,0,0,0,0,45,1,0,2
20,40,193524,16,0,2,0,1,0,0,60,1,0,1
21,54,302146,9,1,0,3,0,0,0,20,1,1,1
22,35,76845,5,0,2,3,1,0,0,40,1,1,0
23,43,117037,7,0,2,0,1,0,1,40,1,1,1
24,59,109015,9,1,0,0,0,0,0,40,1,1,1
25,56,216851,13,0,2,0,1,0,0,40,1,0,0
26,19,168294,9,1,4,0,1,0,0,40,1,1,1
28,39,367260,9,1,3,0,1,0,0,80,1,1,1
29,49,193366,9,0,2,0,1,0,0,40,1,1,1
30,23,190709,12,1,3,0,1,0,0,52,1,1,0
31,20,266015,10,1,4,3,1,0,0,44,1,1,1
32,45,386940,13,1,4,0,1,0,1,40,1,1,1
33,30,59951,10,0,4,0,1,0,0,40,1,1,0
34,22,311512,10,0,2,3,1,0,0,15,1,1,0
35,48,242406,7,1,0,0,1,0,0,40,0,1,1
36,21,197200,10,1,4,0,1,0,0,40,1,1,1
37,19,544091,9,0,1,0,0,0,0,25,1,1,1
39,48,265477,12,0,2,0,1,0,0,40,1,1,2
40,31,507875,5,0,2,0,1,0,0,43,1,1,1
41,53,88506,13,0,2,0,1,0,0,40,1,1,2
42,24,172987,13,0,2,0,1,0,0,50,1,1,1
43,49,94638,9,1,0,0,0,0,0,40,1,1,1
44,25,289980,9,1,3,0,1,0,0,35,1,1,1
45,57,337895,13,0,2,3,1,0,0,40,1,0,0
46,53,144361,9,0,2,0,1,0,0,38,1,1,1
47,44,128354,14,1,0,0,0,0,0,40,1,1,1
48,41,101603,11,0,2,0,1,0,0,40,1,1,0
49,29,271466,11,1,3,0,1,0,0,43,1,1,1
50,25,32275,10,0,1,4,0,0,0,40,1,1,1
